Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
ENSV,ENSERVCO Corporation,0.5749,"29,358,798",n/a,n/a,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/ensv
EOG,"EOG Resources, Inc.",102.9,"59,317,496,610",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/eog
EPE,EP Energy Corporation,5.36,"1,353,111,541",n/a,2014,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/epe
EQT,EQT Corporation,64.17,"11,085,880,860",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/eqt
ERN,Erin Energy Corp.,3.45,"733,769,232",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ern
EVEP,"EV Energy Partners, L.P.",2.01,"98,600,980",n/a,2006,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/evep
EPM,"Evolution Petroleum Corporation, Inc.",9.35,"308,975,565",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/epm
XCO,EXCO Resources NL,0.7069,"199,660,951",n/a,2006,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/xco
XOG,"Extraction Oil & Gas, Inc.",19.2,"3,299,224,416",n/a,2016,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/xog
XOM,Exxon Mobil Corporation,85.51,"354,583,746,306",n/a,n/a,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/xom
FPP,FieldPoint Petroleum Corporation,0.75,"7,338,499",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/fpp
FELP,Foresight Energy LP,7.2,"943,627,421",n/a,2014,Energy,Coal Mining,http://www.nasdaq.com/symbol/felp
FET,"Forum Energy Technologies, Inc.",21.8,"1,993,191,571",n/a,2012,Energy,Metal Fabrications,http://www.nasdaq.com/symbol/fet
FI,Frank&#39;s International N.V.,12.4,"2,757,777,695",n/a,2013,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/fi
GST,Gastar Exploration Inc.,1.66,"218,660,373",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/gst
GEH,General Electric Capital Corporation,25.2,0,n/a,n/a,Energy,Consumer Electronics/Appliances,http://www.nasdaq.com/symbol/geh
GEK,General Electric Capital Corporation,25.35,0,n/a,n/a,Energy,Consumer Electronics/Appliances,http://www.nasdaq.com/symbol/gek
GE,General Electric Company,30.01,"265,480,163,900",n/a,n/a,Energy,Consumer Electronics/Appliances,http://www.nasdaq.com/symbol/ge
GEB,General Electric Company,25.06,0,n/a,n/a,Energy,Consumer Electronics/Appliances,http://www.nasdaq.com/symbol/geb
GEL,"Genesis Energy, L.P.",36.92,"4,355,792,729",n/a,1996,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/gel
GPRK,Geopark Ltd,4.95,"296,143,942",n/a,2014,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/gprk
GLP,Global Partners LP,20.8,"707,107,710",n/a,2005,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/glp
GTE,Gran Tierra Energy Inc.,2.54,"992,257,073",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/gte
GLF,"GulfMark Offshore, Inc.",1.8,"48,594,542",n/a,n/a,Energy,Metal Fabrications,http://www.nasdaq.com/symbol/glf
GPOR,Gulfport Energy Corporation,22.1,"3,510,138,934",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/gpor
HK,Halcon Resources Corporation,9.11,"843,933,027",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/hk
HNRG,Hallador Energy Company,9.7,"283,900,114",n/a,n/a,Energy,Coal Mining,http://www.nasdaq.com/symbol/hnrg
HAL,Halliburton Company,58.21,"50,319,763,435",n/a,n/a,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/hal
HNR,Harvest Natural Resources Inc,6.55,"72,330,366",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/hnr
HLX,"Helix Energy Solutions Group, Inc.",8.4,"1,018,801,837",n/a,n/a,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/hlx
HP,"Helmerich & Payne, Inc.",72.68,"7,862,320,132",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/hp
HES,Hess Corporation,54.87,"17,372,997,452",n/a,n/a,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/hes
HEP,"Holly Energy Partners, L.P.",37.84,"2,375,614,234",n/a,2004,Energy,Natural Gas Distribution,http://www.nasdaq.com/symbol/hep
HFC,HollyFrontier Corporation,29.09,"5,134,956,473",n/a,n/a,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/hfc
HOLI,"Hollysys Automation Technologies, Ltd.",16.76,"1,003,313,919",n/a,n/a,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/holi
HUSA,Houston American Energy Corporation,0.195,"9,999,091",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/husa
HGT,Hugoton Royalty Trust,2.1,"84,000,000",n/a,1999,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/hgt
IPWR,Ideal Power Inc.,2.25,"21,504,931",n/a,2013,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/ipwr
IMO,Imperial Oil Limited,33.17,"28,114,859,195",n/a,n/a,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/imo
ICD,"Independence Contract Drilling, Inc.",6.67,"250,835,408",n/a,2014,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/icd
IOC,InterOil Corporation,48.25,"2,419,631,109",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ioc
IO,Ion Geophysical Corporation,5.85,"70,626,781",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/io
ISRL,"Isramco, Inc.",129,"350,582,139",n/a,1983,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/isrl
JONE,"Jones Energy, Inc.",4.7,"408,155,746",n/a,2013,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/jone
JOY,Joy Global Inc.,28.14,"2,778,771,731",n/a,n/a,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/joy
JPEP,JP Energy Partners LP,10.34,"379,031,912",n/a,2014,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/jpep
FRAC,"Keane Group, Inc.",22.14,0,n/a,2017,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/frac
KEG,"Key Energy Services, Inc.",33.11,"27,139,472",n/a,2016,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/keg
PHG,Koninklijke Philips N.V.,29.63,"27,386,149,730",n/a,n/a,Energy,Consumer Electronics/Appliances,http://www.nasdaq.com/symbol/phg
KOS,Kosmos Energy Ltd.,6.4,"2,475,249,120",n/a,2011,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/kos
LPI,"Laredo Petroleum, Inc.",14.09,"3,408,762,406",n/a,2011,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/lpi
LGCY,Legacy Reserves LP,2.57,"186,440,519",n/a,2007,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/lgcy
LGCYO,Legacy Reserves LP,11.59,"81,130,000",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/lgcyo
LGCYP,Legacy Reserves LP,11.45,"22,900,000",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/lgcyp
LONE,Lonestar Resources US Inc.,7,"152,771,605",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/lone
MIC,Macquarie Infrastructure Company,76.1,"6,227,593,883",n/a,2004,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/mic
MMP,Magellan Midstream Partners L.P.,81.46,"18,555,277,797",n/a,n/a,Energy,Natural Gas Distribution,http://www.nasdaq.com/symbol/mmp
MPET,Magellan Petroleum Corporation,11.62,"68,321,068",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/mpet
TUSK,"Mammoth Energy Services, Inc.",18.11,"679,125,000",n/a,2016,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/tusk
MRO,Marathon Oil Corporation,17.41,"14,749,948,524",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/mro
MPC,Marathon Petroleum Corporation,49.08,"25,905,169,476",n/a,n/a,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/mpc
MARPS,Marine Petroleum Trust,5.4555,"10,911,000",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/marps
MMLP,Martin Midstream Partners L.P.,19.225,"681,612,032",n/a,2002,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/mmlp
MTDR,Matador Resources Company,26.62,"2,648,777,713",n/a,2012,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/mtdr
MEMP,Memorial Production Partners LP,0.182,"15,257,302",n/a,2011,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/memp
MTR,Mesa Royalty Trust,13.9,"25,903,901",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/mtr
MXC,Mexco Energy Corporation,5.288,"10,773,063",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/mxc
MGEE,MGE Energy Inc.,63.85,"2,213,575,425",n/a,n/a,Energy,Electric Utilities: Central,http://www.nasdaq.com/symbol/mgee
MCEP,"Mid-Con Energy Partners, LP",3.11,"93,027,035",n/a,2011,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/mcep
MPO,"MIDSTATES PETROLEUM COMPANY, INC.",20.9,"516,227,910",n/a,2016,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/mpo
MPLX,MPLX LP,38.37,"13,758,352,004",n/a,2012,Energy,Natural Gas Distribution,http://www.nasdaq.com/symbol/mplx
MUR,Murphy Oil Corporation,29.98,"5,162,558,249",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/mur
MVO,MV Oil Trust,7.06,"81,190,000",n/a,2007,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/mvo
NBR,Nabors Industries Ltd.,16.2,"4,591,535,625",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/nbr
NOV,"National Oilwell Varco, Inc.",38.87,"14,680,562,387",n/a,n/a,Energy,Metal Fabrications,http://www.nasdaq.com/symbol/nov
NGS,"Natural Gas Services Group, Inc.",30.5,"392,496,143",n/a,2002,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/ngs
NRP,Natural Resource Partners LP,37.95,"464,204,628",n/a,2002,Energy,Coal Mining,http://www.nasdaq.com/symbol/nrp
GBR,"New Concept Energy, Inc",1.81,"3,523,951",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/gbr
NFX,Newfield Exploration Company,41.78,"8,309,397,794",n/a,1993,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/nfx
NR,"Newpark Resources, Inc.",7.85,"664,530,525",n/a,n/a,Energy,Metal Fabrications,http://www.nasdaq.com/symbol/nr
NGL,NGL ENERGY PARTNERS LP,24.65,"2,648,501,305",n/a,2011,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/ngl
NE,Noble Corporation,7.2,"1,751,280,271",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ne
NBL,Noble Energy Inc.,40.27,"17,304,091,969",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/nbl
NBLX,Noble Midstream Partners LP,42.98,"1,366,986,121",n/a,2016,Energy,Natural Gas Distribution,http://www.nasdaq.com/symbol/nblx
NOA,"North American Energy Partners, Inc.",5.25,"164,665,237",n/a,2006,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/noa
NADL,North Atlantic Drilling Ltd.,3.4,"81,988,389",n/a,2014,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/nadl
NRT,North European Oil Royality Trust,6.9,"63,415,071",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/nrt
